Word,Meaning,Frequency,diff_level
sportive,given to merry frolicking,5041.22,2.0
verdant,characterized by abundance of vegetation and green foliage,2144.12,2.0
obliquity,the quality of being deliberately vague or deceptive,9351.72,4.0
calumny,a false accusation of an offense,1200.93,1.0
pugilism,boxing with bare hands,4971.27,2.0
martinet,someone who demands exact conformity to rules and forms,10726.33,4.0
odious,extremely repulsive or unpleasant,840.68,1.0
forthright,directly and without evasion; not roundabout,4784.21,3.0
decree,a legally binding command or decision,237.13,1.0
potentate,"a powerful ruler, especially one who is unconstrained by law",2251.01,1.0
decry,express strong disapproval of,3637.71,3.0
torment,intense feelings of suffering; acute mental or physical pain,280.21,1.0
penury,a state of extreme poverty or destitution,3397.35,2.0
pungent,strong and sharp to the sense of taste or smell,1948.81,1.0
reticent,reluctant to draw attention to yourself,1374.54,2.0
opprobrious,expressing offensive reproach,9388.86,4.0
minuscule,very small,11808.5,4.0
bombastic,ostentatiously lofty in style,9023.37,3.0
cogent,powerfully persuasive,4099.24,3.0
reverberate,ring or echo with sound,1907.03,2.0
apostate,not faithful to religion or party or cause,3579.36,2.0
complacent,contented to a fault with oneself or one's actions,656.28,1.0
rampant,occurring or increasing in an unrestrained way,2211.46,2.0
hypocritical,professing feelings or virtues one does not have,2358.73,3.0
prolong,lengthen in time; cause to be or last longer,315.1,1.0
equivocation,intentional vagueness or ambiguity,9941.55,4.0
placate,cause to be more favorably inclined,1133.44,2.0
pristine,immaculately clean and unused,4267.9,3.0
peccadillo,a petty misdeed,13221.71,4.0
aggrandize,"embellish; increase the scope, power, or importance of",4161.26,3.0
oblique,slanting or inclined in direction or course or position,1110.69,2.0
assuage,"provide physical relief, as from pain",2941.13,2.0
meretricious,tastelessly showy,13401.58,3.0
propitiate,make peace with,2029.37,2.0
impediment,something immaterial that interferes with action or progress,1539.17,2.0
penchant,a strong liking or preference,5485.6,4.0
moat,ditch dug as a fortification and usually filled with water,1660.55,2.0
savant,a learned person,3731.84,3.0
descry,catch sight of,1898.77,2.0
vindicate,show to be right by providing justification or proof,719.37,1.0
eradicate,"destroy completely, as if down to the roots",1489.95,2.0
ranger,an official responsible for managing an area of forest,3559.96,3.0
boor,a crude uncouth ill-bred person lacking refinement,2850.4,3.0
panache,distinctive and stylish elegance,20414.32,4.0
imperious,having or showing arrogant superiority,857.78,1.0
impasse,a situation in which no progress can be made,5602.57,2.0
tome,a large and scholarly book,1875.89,1.0
deprive,take away,212.91,1.0
impregnable,incapable of being attacked or tampered with,1960.11,2.0
maudlin,very sentimental or emotional,5000.71,2.0
attentive,taking heed,390.86,1.0
listless,lacking zest or vivacity,1026.98,1.0
provocative,serving or tending to excite or stimulate,2316.24,3.0
foreclosure,proceedings initiated to repossess the collateral for a loan,1756.43,2.0
endeavor,attempt by employing effort,232.12,1.0
defiant,boldly resisting authority or an opposing force,275.33,1.0
egregious,conspicuously and outrageously bad or reprehensible,4086.49,3.0
