Word,Meaning,Frequency,diff_level
repose,freedom from activity,265.21,1
vex,"disturb, especially by minor irritations",282.28,1
assail,attack someone physically or emotionally,317.8,1
sublime,of high moral or intellectual value,320.67,1
obstinate,marked by tenacious unwillingness to yield,338.91,1
prudence,discretion in practical affairs,358.84,1
propriety,correct behavior,440.15,1
precipitate,bring about abruptly,506.9,1
lavish,very generous,520.74,1
rhetoric,study of the technique for using language effectively,520.85,1
lumber,the wood of trees prepared for use as building material,602.31,1
yoke,a wooden frame across the shoulders for carrying buckets,611.31,1
impetuous,characterized by undue haste and lack of thought,633.22,1
grievous,causing or marked by grief or anguish,634.68,1
pervade,spread or diffuse through,643.46,1
insurrection,organized opposition to authority,646.09,1
deride,treat or speak of with contempt,650.56,1
abate,become less in amount or intensity,655.45,1
iniquity,absence of moral or spiritual values,661.52,1
inter,place in a grave or tomb,665.87,1
wanton,a lewd or immoral person,684.24,1
chaos,formless state of matter before the creation of the cosmos,698.18,1
deference,courteous regard for people's feelings,698.55,1
approbation,official acceptance or agreement,715.29,1
rustic,characteristic of rural life,716.19,1
mar,cause to become imperfect,767.09,1
languid,lacking spirit or liveliness,767.99,1
indolent,disinclined to work or exertion,799.82,1
abyss,a bottomless gulf or pit,814.5,1
blight,any plant disease resulting in withering without rotting,825.79,1
repudiate,"refuse to acknowledge, ratify, or recognize as valid",995.22,1
arbitrate,act between parties with a view to reconciling differences,1000.35,1
furtive,secret and sly,1024.67,1
listless,lacking zest or vivacity,1026.98,1
ostentation,pretentious or showy or vulgar display,1028.32,1
wan,"pale, as of a person's complexion",1061.12,1
fawn,a young deer,1071.59,1
prodigal,recklessly wasteful,1115.08,1
dilate,become wider,1136.71,1
whimsical,determined by chance or impulse rather than by necessity,1140.21,1
sanguine,confidently optimistic and cheerful,1157.83,1
redress,make reparations or amends for,1165.23,1
calumny,a false accusation of an offense,1200.93,1
pallid,"pale, as of a person's complexion",1209.52,1
inexorable,"impossible to prevent, resist, or stop",1240.18,1
ford,cross a river where it's shallow,1250.66,1
repast,the food served and eaten at one time,1251.19,1
embellish,"make more attractive, as by adding ornament or color",1259.18,1
ardor,feelings of great warmth and intensity,1273.4,1
edify,make understand,1293.43,1
estimable,deserving of respect or high regard,1312.07,1
ingenuous,lacking in sophistication or worldliness,1314.69,1
capricious,determined by chance or impulse rather than by necessity,1316.6,1
stolid,having or revealing little emotion or sensibility,1317.33,1
corroborate,give evidence for,1334.41,1
bolster,support and strengthen,1343.19,1
ostensible,appearing as such but not necessarily so,1349.62,1
pedant,a person who is preoccupied with rules and learning,1363.14,1
craven,lacking even the rudiments of courage; abjectly fearful,1366.6,1
vestige,an indication that something has been present,1369.29,1
droll,comical in an odd or whimsical manner,1373.1,1
reticent,reluctant to draw attention to yourself,1374.54,1
dupe,fool or hoax,1382.41,1
intrepid,invulnerable to fear or intimidation,1387.92,1
guile,shrewdness as demonstrated by being skilled in deception,1399.9,1
eulogy,a formal expression of praise for someone who has died,1415.98,1
tacit,implied by or inferred from actions or statements,1418.35,1
